Y,,X,Y,S
IAP 394,172050,DAH 294,IAP 394,1.0
IAP 394,175569,FRE 294,IAP 394,1.0
IAS 401,2103513,REL 401,IAS 401,1.0000002000000001
IAS 401,2103541,REL 502,IAS 401,0.84010696
IBC 716,151674,CIS 560,IBC 716,0.80922055
IBC 716,152288,HCD 405,IBC 716,0.80764836
IEE 494,932602,RUS 294,IEE 494,1.0
IEE 494,935414,FMP 394,IEE 494,1.0
JMC 437,1092248,ART 408,JMC 437,0.8264481
JMC 437,1083356,JMC 475,JMC 437,0.8230046
JPN 301,1336632,JPN 315,JPN 301,0.8534617
JPN 301,1336650,JPN 585,JPN 301,0.8155453
JPN 415,1343640,GRK 221,JPN 415,0.7807714
JPN 415,1343639,GRK 201,JPN 415,0.7475705
JST 230,1158543,JST 491,JST 230,0.85937905
JST 230,1159623,HEB 411,JST 230,0.8446009
JUS 194,651763,DAH 494,JUS 194,1.0
JUS 194,657383,ART 494,JUS 194,1.0
JUS 375,1052165,SWU 171,JUS 375,0.85709345
JUS 375,1051929,WST 472,JUS 375,0.83048415
JUS 422,1180706,WST 422,JUS 422,0.9999998999999999
JUS 422,1174364,JUS 560,JUS 422,0.86215395
JUS 560,1596236,SOC 264,JUS 560,0.8634259
JUS 560,1595645,WST 422,JUS 560,0.8621540000000001
KIN 348,1148504,KIN 520,KIN 348,0.82640755
KIN 348,1148507,KIN 530,KIN 348,0.8084886
KIN 400,1190296,BIO 400,KIN 400,1.0000001
KIN 400,1183998,SHS 400,KIN 400,1.0000001
KIN 441,1316688,KIN 531,KIN 441,1.0000004
KIN 441,1316669,KIN 443,KIN 441,0.71036315
KOR 313,785014,JPN 301,KOR 313,0.8495954
KOR 313,785009,JPN 201,KOR 313,0.81363106
LAW 315,955105,LAW 614,LAW 315,0.83802515
LAW 315,960592,SOC 443,LAW 315,0.80946183
LAW 607,1272269,STS 331,LAW 607,0.8493499
LAW 607,1270682,BIO 610,LAW 607,0.8029149999999999
LAW 718,1802832,PUP 718,LAW 718,0.99999994
LAW 718,1804829,AIS 522,LAW 718,0.8320122999999999
LAW 720,1821391,AIS 380,LAW 720,0.64320666
LAW 720,1819155,LES 581,LAW 720,0.60617125
LIN 521,596882,BLE 324,LIN 521,0.91263044
LIN 521,596585,ENG 582,LIN 521,0.8896045
LIN 591,694791,CED 791,LIN 591,1.0000002000000001
LIN 591,702522,MET 591,LIN 591,1.0000002000000001
LIN 795,953355,QBA 695,LIN 795,0.9999998999999999
LIN 795,964638,ARS 695,LIN 795,0.9999998999999999
LIS 598,201956,BME 598,LIS 598,1.0000001
LIS 598,207150,FSE 598,LIS 598,1.0000001
LNP 598,1018850,SWG 598,LNP 598,1.0000001
LNP 598,1020848,PLA 598,LNP 598,1.0000001
LPH 592,472142,CRD 592,LPH 592,0.99999994
LPH 592,465726,CEE 692,LPH 592,0.99999994
LSC 430,1775267,ERM 503,LSC 430,0.8376169
LSC 430,1775253,ERM 406,LSC 430,0.819166
LTC 344,1095250,LDE 262,LTC 344,0.8685278000000001
LTC 344,1095249,LDE 261,LTC 344,0.8189305
MAE 213,2301203,CEE 526,MAE 213,0.8675177
MAE 213,2300371,MAE 527,MAE 213,0.8675177
MAE 536,547516,MEE 491,MAE 536,0.9094119
MAE 536,552348,MET 432,MAE 536,0.8864540999999999
MAS 500,1887985,DAH 500,MAS 500,0.9999998999999999
MAS 500,1893012,THP 500,MAS 500,0.99999976
MAS 591,2051841,MUD 591,MAS 591,1.0000002000000001
MAS 591,2058869,MET 591,MAS 591,1.0000002000000001
MAT 272,214159,PHY 302,MAT 272,0.9167436
MAT 272,212493,MAT 362,MAT 272,0.8936379000000001
MAT 443,631545,EEE 550,MAT 443,0.8596381
MAT 443,621669,MAT 571,MAT 443,0.8323647
MAT 444,633335,MAT 544,MAT 444,0.90455574
MAT 444,633312,MAT 473,MAT 444,0.8698511
MCE 784,1376054,CDE 584,MCE 784,1.0000002000000001
MCE 784,1376409,ARE 784,MCE 784,1.0000002000000001
MCO 430,1020808,TSS 503,MCO 430,0.8271129
MCO 430,1020236,MCO 512,MCO 430,0.8244439
MDC 211,20931,MDC 411,MDC 211,0.80417466
MDC 211,20934,MDC 511,MDC 211,0.80417466
MDC 511,63963,MTC 436,MDC 511,0.8713635000000001
MDC 511,64552,ART 438,MDC 511,0.8413943000000002
MED 484,1388020,PLB 784,MED 484,1.0000002000000001
MED 484,1388564,CIS 584,MED 484,1.0000002000000001
MGT 795,200367,BUS 795,MGT 795,0.9999998999999999
MGT 795,199858,LDE 695,MGT 795,0.9999998999999999
MIC 294,2410,FMP 394,MIC 294,1.0
MIC 294,1004,FRE 294,MIC 294,1.0
MIC 591,358305,MET 591,MIC 591,1.0000002000000001
MIC 591,350574,CED 791,MIC 591,1.0000002000000001
MIS 401,1240026,MIS 402,MIS 401,0.9944213
MIS 401,1241121,AMT 495,MIS 401,0.7915274
MIS 493,1301389,SSH 493,MIS 493,0.9999998999999999
MIS 493,1299243,RUS 493,MIS 493,0.9999998999999999
MLS 501,368172,SLC 465,MLS 501,0.7118288
MLS 501,368068,CAP 220,MLS 501,0.7051196
MND 101,624819,MND 102,MND 101,0.9798584000000001
MND 101,624820,MND 201,MND 101,0.9746324000000001
MSE 194,489826,FRE 294,MSE 194,1.0
MSE 194,491232,FMP 394,MSE 194,1.0
MSE 420,536436,MSE 514,MSE 420,0.99871993
MSE 420,536419,MSE 470,MSE 420,0.8821144000000001
MTC 519,665807,MTC 540,MTC 519,0.8147571
MTC 519,666813,MUP 451,MTC 519,0.81434727
MTE 181,980849,SED 560,MTE 181,0.87493217
MTE 181,981190,EDP 502,MTE 181,0.86684763
MUE 501,1222302,MUE 573,MUE 501,0.87992823
MUE 501,1222303,MUE 574,MUE 501,0.86616814
MUP 453,1484005,MUP 454,MUP 453,0.7839589
MUP 453,1484074,MUP 587,MUP 453,0.7826078000000001
MUP 482,1488731,MUP 508,MUP 482,0.82589257
MUP 482,1488742,MUP 540,MUP 482,0.8148558000000001
NLM 302,2089536,CRD 302,NLM 302,1.0000001
NLM 302,2088318,HCR 571,NLM 302,0.83168083
NLM 484,2210318,GCU 484,NLM 484,1.0000002000000001
NLM 484,2214698,HCD 484,NLM 484,1.0000002000000001
NLM 540,2279905,EDA 772,NLM 540,0.87817913
NLM 540,2279874,EDA 572,NLM 540,0.8674293
NTR 450,17897,NTR 550,NTR 450,0.9507597
NTR 450,17878,NTR 510,NTR 450,0.79704267
NTR 535,124598,NTR 557,NTR 535,0.8114252
NTR 535,126086,HCD 563,NTR 535,0.7932569
NTR 546,156964,NTR 553,NTR 546,0.85812616
NTR 546,156962,NTR 550,NTR 546,0.8010883000000001
NUR 312,179208,NUR 464,NUR 312,0.93042666
NUR 312,179198,NUR 444,NUR 312,0.88828474
NUR 440,457287,DNP 679,NUR 440,0.92974967
NUR 440,456146,NUR 609,NUR 440,0.8952454
NUR 531,719758,DNP 609,NUR 531,0.9278605
NUR 531,718689,NUR 607,NUR 531,0.90985644
NUR 591,756033,MET 591,NUR 591,1.0000002000000001
NUR 591,752742,MSE 791,NUR 591,1.0000001
PAF 593,2128263,MUD 593,PAF 593,1.0
PAF 593,2135291,MET 593,PAF 593,1.0
PHI 331,2002811,ASB 480,PHI 331,0.88614863
PHI 331,2001861,COE 503,PHI 331,0.8126104000000001
PHI 439,2239620,PHI 530,PHI 439,0.80404484
PHI 439,2240595,COM 321,PHI 439,0.8002832
PHI 799,342531,CDE 799,PHI 799,1.0
PHI 799,341188,HPS 799,PHI 799,1.0
PHL 394,692222,FMP 394,PHL 394,1.0
PHL 394,690816,FRE 294,PHL 394,1.0
PHL 480,703736,STS 480,PHL 480,1.0
PHL 480,697874,CMN 557,PHL 480,0.7997159
PHY 101,2038734,ASC 315,PHY 101,0.8275306
PHY 101,2039421,MTE 301,PHY 101,0.82668966
PHY 576,407211,EEE 586,PHY 576,0.88287556
PHY 576,407230,EEE 643,PHY 576,0.86032504
POR 101,363837,BCS 101,POR 101,0.88061714
POR 101,363839,BCS 201,POR 101,0.8457178
POS 447,623758,SLC 455,POS 447,0.8105173000000001
POS 447,624738,SGS 377,POS 447,0.7922701999999999
PPE 565,145162,PPE 570,PPE 565,0.8505068000000001
PPE 565,145161,PPE 568,PPE 565,0.844024
PPE 593,173593,LSE 683,PPE 593,0.92956465
PPE 593,173950,SLB 511,PPE 593,0.7526366999999999
PRM 470,1344140,SCN 309,PRM 470,0.82342386
PRM 470,1344128,SCN 209,PRM 470,0.82342386
PRM 486,1418258,OGL 350,PRM 486,0.7680251
PRM 486,1409487,BIS 350,PRM 486,0.7680251
PSY 306,1225112,PSY 341,PSY 306,0.8838663
PSY 306,1225191,PSY 550,PSY 306,0.8765550999999999
PSY 370,1264084,PSY 572,PSY 370,0.8636836999999999
PSY 370,1264090,PSY 582,PSY 370,0.86073184
PSY 440,1303179,MGT 300,PSY 440,0.82693887
PSY 440,1303193,MGT 422,PSY 440,0.81292045
PSY 441,1304914,PSY 541,PSY 441,0.9106434999999999
PSY 441,1306600,CDE 533,PSY 441,0.8564763000000001
PSY 784,1500473,EEE 684,PSY 784,1.0000002000000001
PSY 784,1501710,RDG 584,PSY 784,1.0000002000000001
