Year,Celsius
303, 0.030653487890958786,
304, -0.03736371174454689,
305, -0.00930012296885252,
306, 0.04330835118889809,
307, -0.020830420777201653,
308, 0.020593050867319107,
309, 0.05245266482234001,
310, 0.0758301392197609,
311, -0.02526685781776905,
312, -0.01798335649073124,
313, 0.047021202743053436,
314, 0.04485202208161354,
315, 0.03299437090754509,
316, 0.03574487194418907,
317, -0.042187705636024475,
318, -0.03933769091963768,
319, 0.008848056197166443,
320, -0.03538881242275238,
321, 0.03368061035871506,
322, 0.05989588797092438,
323, -0.04367062449455261,
324, -0.03897133842110634,
325, 0.040307119488716125,
326, 0.0021618457976728678,
327, 0.014402007684111595,
328, -0.04894331470131874,
329, 0.03105689026415348,
330, -0.050492074340581894,
331, -0.08690466731786728,
332, -0.04873013123869896,
333, -0.008831016719341278,
334, 0.05013376474380493,
335, 0.006088461261242628,
336, 0.03850039094686508,
337, -0.010742402635514736,
338, 0.023713355883955956,
339, -0.0227696243673563,
340, 0.029812613502144814,
341, -0.04456131160259247,
342, -0.031659845262765884,
343, -0.012641041539609432,
